purchase_id,date,supplier,category,items_summary,quantity_kg,total_cost_clp,payment_terms,due_date,status
PO-1000,2023-01-02,Carnes Danke,meat,Meat Variety Pack,9.38,89062,30 dias,2023-02-01,Received
PO-1001,2023-01-02,Agro los hermanos,veg,Veg Variety Pack,51.52,77287,0 dias,2023-01-02,Received
PO-1002,2023-01-02,Puerto de Palos,seafood,Seafood Variety Pack,4.46,53460,15 dias,2023-01-17,Received
PO-1003,2023-01-02,Distribuidora JR,dairy,Dairy Variety Pack,33.27,199650,15 dias,2023-01-17,Received
PO-1004,2023-01-02,ICB Food Service,grocery,Grocery Variety Pack,115.83,231650,30 dias,2023-02-01,Received
PO-1005,2023-01-05,Carnes Danke,meat,Meat Variety Pack,40.74,387006,30 dias,2023-02-04,Received
PO-1006,2023-01-05,Agro los hermanos,veg,Veg Variety Pack,79.45,119175,0 dias,2023-01-05,Received
PO-1007,2023-01-05,Puerto de Palos,seafood,Seafood Variety Pack,28.65,343800,15 dias,2023-01-20,Received
PO-1008,2023-01-05,Distribuidora JR,dairy,Dairy Variety Pack,56.23,337350,15 dias,2023-01-20,Received
PO-1009,2023-01-05,ICB Food Service,grocery,Grocery Variety Pack,137.25,274500,30 dias,2023-02-04,Received
PO-1010,2023-01-09,Carnes Danke,meat,Meat Variety Pack,14.18,134662,30 dias,2023-02-08,Received
PO-1011,2023-01-09,Agro los hermanos,veg,Veg Variety Pack,41.45,62175,0 dias,2023-01-09,Received
PO-1012,2023-01-09,Puerto de Palos,seafood,Seafood Variety Pack,17.64,211620,15 dias,2023-01-24,Received
PO-1013,2023-01-09,Distribuidora JR,dairy,Dairy Variety Pack,18.48,110850,15 dias,2023-01-24,Received
PO-1014,2023-01-09,ICB Food Service,grocery,Grocery Variety Pack,58.58,117150,30 dias,2023-02-08,Received
PO-1015,2023-01-12,Carnes Danke,meat,Meat Variety Pack,32.63,309961,30 dias,2023-02-11,Received
PO-1016,2023-01-12,Agro los hermanos,veg,Veg Variety Pack,68.83,103237,0 dias,2023-01-12,Received
PO-1017,2023-01-12,Puerto de Palos,seafood,Seafood Variety Pack,25.07,300840,15 dias,2023-01-27,Received
PO-1018,2023-01-12,Distribuidora JR,dairy,Dairy Variety Pack,46.48,278850,15 dias,2023-01-27,Received
PO-1019,2023-01-12,ICB Food Service,grocery,Grocery Variety Pack,127.0,253990,30 dias,2023-02-11,Received
PO-1020,2023-01-16,Carnes Danke,meat,Meat Variety Pack,26.66,253246,30 dias,2023-02-15,Received
PO-1021,2023-01-16,Agro los hermanos,veg,Veg Variety Pack,60.48,90712,0 dias,2023-01-16,Received
PO-1022,2023-01-16,Puerto de Palos,seafood,Seafood Variety Pack,18.23,218790,15 dias,2023-01-31,Received
PO-1023,2023-01-16,Distribuidora JR,dairy,Dairy Variety Pack,45.95,275700,15 dias,2023-01-31,Received
PO-1024,2023-01-16,ICB Food Service,grocery,Grocery Variety Pack,120.3,240590,30 dias,2023-02-15,Received
PO-1025,2023-01-16,Distribuidora JR,beverage,Beverage Variety Pack,0.65,520,15 dias,2023-01-31,Received
PO-1026,2023-01-19,Carnes Danke,meat,Meat Variety Pack,37.23,353661,30 dias,2023-02-18,Received
PO-1027,2023-01-19,Agro los hermanos,veg,Veg Variety Pack,86.92,130387,0 dias,2023-01-19,Received
PO-1028,2023-01-19,Puerto de Palos,seafood,Seafood Variety Pack,37.53,450390,15 dias,2023-02-03,Received
PO-1029,2023-01-19,Distribuidora JR,dairy,Dairy Variety Pack,50.08,300450,15 dias,2023-02-03,Received
PO-1030,2023-01-19,ICB Food Service,grocery,Grocery Variety Pack,150.97,301930,30 dias,2023-02-18,Received
PO-1031,2023-01-19,Distribuidora JR,beverage,Beverage Variety Pack,5.65,4520,15 dias,2023-02-03,Received
PO-1032,2023-01-19,Licores Premium,wine,Wine Variety Pack,11.53,46100,30 dias,2023-02-18,Received
PO-1033,2023-01-23,Carnes Danke,meat,Meat Variety Pack,11.08,105236,30 dias,2023-02-22,Received
PO-1034,2023-01-23,Agro los hermanos,veg,Veg Variety Pack,31.05,46575,0 dias,2023-01-23,Received
PO-1035,2023-01-23,Puerto de Palos,seafood,Seafood Variety Pack,6.14,73650,15 dias,2023-02-07,Received
PO-1036,2023-01-23,Distribuidora JR,dairy,Dairy Variety Pack,24.35,146100,15 dias,2023-02-07,Received
PO-1037,2023-01-23,ICB Food Service,grocery,Grocery Variety Pack,52.31,104620,30 dias,2023-02-22,Received
PO-1038,2023-01-23,Distribuidora JR,beverage,Beverage Variety Pack,1.32,1060,15 dias,2023-02-07,Received
PO-1039,2023-01-23,Licores Premium,wine,Wine Variety Pack,1.39,5550,30 dias,2023-02-22,Received
