date,target_revenue,qty_sold,weather_temp,is_weekend,is_holiday,foot_traffic_estimate,num_reservations,reserved_pax,day_of_week,month,day_of_month,promo_pizza_tuesday,promo_ladies_thursday,promo_happy_hour,revenue_t-1,revenue_t-7,revenue_t-28,rolling_7d_avg,rolling_30d_avg
2023-01-31,1299380,83,27.4,0,0,78.0,0.0,0.0,1,1,31,1,0,1,1053830.0,1640200.0,1436350.0,1613241.4285714286,1507606.3333333333
2023-02-01,723370,49,20.6,0,0,70.0,22.0,54.0,2,2,1,0,0,1,1299380.0,882690.0,893780.0,1564552.857142857,1500286.0
2023-02-02,1929330,167,31.3,0,0,139.0,0.0,0.0,3,2,2,0,1,1,723370.0,1625430.0,1731820.0,1541792.857142857,1476778.3333333333
2023-02-03,1750600,139,22.0,1,0,120.0,30.0,86.0,4,2,3,0,0,1,1929330.0,2245060.0,1238640.0,1585207.142857143,1493211.0
2023-02-04,1660950,109,30.2,1,0,107.0,32.0,92.0,5,2,4,0,0,0,1750600.0,1849580.0,1792200.0,1514570.0,1521771.6666666667
2023-02-05,950360,78,27.0,0,0,77.0,21.0,58.0,6,2,5,0,0,0,1660950.0,1995900.0,1523200.0,1487622.857142857,1519409.3333333333
2023-02-06,1789560,110,24.8,0,0,111.0,35.0,116.0,0,2,6,0,0,1,950360.0,1053830.0,1642450.0,1338260.0,1509800.0
2023-02-07,1432350,107,20.1,0,0,80.0,0.0,0.0,1,2,7,1,0,1,1789560.0,1299380.0,716500.0,1443364.2857142857,1509712.0
2023-02-08,882200,72,25.7,0,0,75.0,19.0,46.0,2,2,8,0,0,1,1432350.0,723370.0,1752030.0,1462360.0,1506683.6666666667
2023-02-09,1769880,154,23.2,0,0,146.0,0.0,0.0,3,2,9,0,1,1,882200.0,1929330.0,1714650.0,1485050.0,1481342.0
2023-02-10,1587880,106,20.3,1,0,104.0,26.0,68.0,4,2,10,0,0,1,1769880.0,1750600.0,1726000.0,1462271.4285714286,1516454.6666666667
2023-02-11,1910520,125,24.2,1,0,130.0,32.0,96.0,5,2,11,0,0,0,1587880.0,1660950.0,1601290.0,1439025.7142857143,1510983.0
2023-02-12,866800,69,16.4,0,0,73.0,22.0,58.0,6,2,12,0,0,0,1910520.0,950360.0,281100.0,1474678.5714285714,1517512.0
2023-02-13,925590,66,18.4,0,0,84.0,29.0,78.0,0,2,13,0,0,1,866800.0,1789560.0,1208230.0,1462741.4285714286,1488872.0
2023-02-14,1891770,134,20.6,0,0,105.0,0.0,0.0,1,2,14,1,0,1,925590.0,1432350.0,2460090.0,1339317.142857143,1466348.6666666667
2023-02-15,1573730,101,23.1,0,0,84.0,24.0,60.0,2,2,15,0,0,1,1891770.0,882200.0,1852490.0,1404948.5714285714,1520037.6666666667
2023-02-16,2170010,234,29.0,0,0,195.0,0.0,0.0,3,2,16,0,1,1,1573730.0,1769880.0,2076600.0,1503738.5714285714,1532221.0
2023-02-17,1996200,140,24.0,1,0,122.0,39.0,108.0,4,2,17,0,0,1,2170010.0,1587880.0,1443820.0,1560900.0,1522551.6666666667
2023-02-18,2069580,132,20.3,1,0,143.0,40.0,104.0,5,2,18,0,0,0,1996200.0,1910520.0,1691060.0,1619231.4285714286,1527342.0
2023-02-19,1031800,79,24.9,0,0,65.0,20.0,52.0,6,2,19,0,0,0,2069580.0,866800.0,1113660.0,1641954.2857142857,1527108.0
2023-02-20,1118650,79,22.0,0,0,79.0,21.0,56.0,0,2,20,0,0,1,1031800.0,925590.0,1091950.0,1665525.7142857143,1513374.0
2023-02-21,608300,43,20.2,0,0,47.0,0.0,0.0,1,2,21,1,0,1,1118650.0,1891770.0,1640200.0,1693105.7142857143,1494293.6666666667
2023-02-22,1279300,87,24.8,0,0,92.0,31.0,86.0,2,2,22,0,0,1,608300.0,1573730.0,882690.0,1509752.857142857,1477448.3333333333
2023-02-23,1383390,153,20.8,0,0,132.0,0.0,0.0,3,2,23,0,1,1,1279300.0,2170010.0,1625430.0,1467691.4285714286,1483693.3333333333
2023-02-24,1955230,147,25.9,1,0,150.0,50.0,156.0,4,2,24,0,0,1,1383390.0,1996200.0,2245060.0,1355317.142857143,1475133.0
2023-02-25,1755080,114,23.0,1,0,121.0,30.0,84.0,5,2,25,0,0,0,1955230.0,2069580.0,1849580.0,1349464.2857142857,1510884.3333333333
2023-02-26,1322890,87,25.1,0,0,89.0,31.0,94.0,6,2,26,0,0,0,1755080.0,1031800.0,1995900.0,1304535.7142857143,1515206.0
2023-02-27,815500,62,22.7,0,0,75.0,20.0,56.0,0,2,27,0,0,1,1322890.0,1118650.0,1053830.0,1346120.0,1484467.0
2023-02-28,1607870,123,25.3,0,0,80.0,0.0,0.0,1,2,28,1,0,1,815500.0,608300.0,1299380.0,1302812.857142857,1449997.6666666667
2023-03-01,1527590,109,19.2,0,0,118.0,40.0,98.0,2,3,1,0,0,1,1607870.0,1279300.0,723370.0,1445608.5714285714,1437063.3333333333
2023-03-02,1110040,116,13.6,0,0,124.0,0.0,0.0,3,3,2,0,1,1,1527590.0,1383390.0,1929330.0,1481078.5714285714,1452855.3333333333
2023-03-03,1789290,118,18.0,1,0,124.0,33.0,86.0,4,3,3,0,0,1,1110040.0,1955230.0,1750600.0,1442028.5714285714,1446544.0
2023-03-04,1489720,113,20.4,1,0,111.0,26.0,74.0,5,3,4,0,0,0,1789290.0,1755080.0,1660950.0,1418322.857142857,1482074.6666666667
2023-03-05,1107280,76,17.3,0,0,70.0,18.0,44.0,6,3,5,0,0,0,1489720.0,1322890.0,950360.0,1380414.2857142857,1467421.0
2023-03-06,1007980,63,12.9,0,0,80.0,21.0,58.0,0,3,6,0,0,1,1107280.0,815500.0,1789560.0,1349612.857142857,1445977.0
2023-03-07,1596700,118,25.5,0,0,103.0,0.0,0.0,1,3,7,1,0,1,1007980.0,1607870.0,1432350.0,1377110.0,1424211.3333333333
2023-03-08,1314050,78,24.9,0,0,82.0,28.0,80.0,2,3,8,0,0,1,1596700.0,1527590.0,882200.0,1375514.2857142857,1445756.0
2023-03-09,1982530,172,21.2,0,0,145.0,0.0,0.0,3,3,9,0,1,1,1314050.0,1110040.0,1769880.0,1345008.5714285714,1429905.6666666667
