date,item_name,merma_qty,reason,value_lost_clp,preventable
2023-01-01,Tabla Estación,1,expired,14500,no
2023-01-01,Salmón Tando,1,quality_issue,7200,yes
2023-01-01,Volcán de Chocolate,2,damage,4200,yes
2023-01-01,Margarita,1,damage,3200,yes
2023-01-01,Clásica,1,overprep,4200,yes
2023-01-01,Camarón a la Vista,1,expired,5800,no
2023-01-01,Filete Trifolatti,1,overprep,9800,yes
2023-01-02,Pepperoni,2,overprep,7600,yes
2023-01-02,Mechada Avocado,3,expired,14400,no
2023-01-02,Copa de Vino CS,2,expired,2800,no
2023-01-02,Copa de Vino CS,2,expired,2800,no
2023-01-02,Margarita,1,overprep,3200,yes
2023-01-02,Volcán de Chocolate,1,expired,2100,no
2023-01-02,Margarita,1,damage,3200,yes
2023-01-02,Tartar de Jaiba con Locos,2,expired,17800,no
2023-01-02,Cuatro Formaggi,2,overprep,9600,yes
2023-01-03,Jugo de Pulpa,2,overprep,1600,yes
2023-01-03,Jugo de Pulpa,1,expired,800,no
2023-01-03,Margarita,3,quality_issue,9600,yes
2023-01-03,Tabla Estación,1,overprep,14500,yes
2023-01-04,Volcán de Chocolate,1,overprep,2100,yes
2023-01-04,Cuatro Formaggi,1,overprep,4800,yes
2023-01-04,Margarita,1,overprep,3200,yes
2023-01-04,Mechada Avocado,1,quality_issue,4800,yes
2023-01-04,Tartar de Jaiba con Locos,2,overprep,17800,yes
2023-01-04,Locos en su Emulsión,1,expired,11500,no
2023-01-04,Pepperoni,1,overprep,3800,yes
2023-01-04,Filete Trifolatti,1,overprep,9800,yes
2023-01-04,Pepperoni,2,expired,7600,no
2023-01-05,Duo del Mar,3,quality_issue,21600,yes
2023-01-05,Clásica,2,customer_return,8400,no
2023-01-05,Clásica,1,expired,4200,no
2023-01-05,Filete Trifolatti,2,expired,19600,no
2023-01-06,Clásica,2,expired,8400,no
2023-01-06,Arancini,1,overprep,3800,yes
2023-01-06,Margarita,1,damage,3200,yes
2023-01-06,Volcán de Chocolate,1,overprep,2100,yes
2023-01-06,Mechada Avocado,2,overprep,9600,yes
2023-01-07,Tabla Estación,1,quality_issue,14500,yes
2023-01-07,Salmón Tando,2,customer_return,14400,no
