reservation_id,date,time,pax,customer_name,status,channel
RES-5000,2023-01-01,22:00,4,Cliente 5000,Show,Web
RES-5001,2023-01-01,21:00,2,Cliente 5001,Show,Web
RES-5002,2023-01-01,14:00,4,Cliente 5002,Show,Web
RES-5003,2023-01-01,19:00,8,Cliente 5003,Show,Web
RES-5004,2023-01-01,20:00,2,Cliente 5004,Show,WhatsApp
RES-5005,2023-01-01,19:00,4,Cliente 5005,Show,WhatsApp
RES-5006,2023-01-01,21:00,2,Cliente 5006,Show,Web
RES-5007,2023-01-01,20:00,2,Cliente 5007,Show,Web
RES-5008,2023-01-01,13:00,2,Cliente 5008,Show,WhatsApp
RES-5009,2023-01-01,20:00,6,Cliente 5009,Show,WhatsApp
RES-5010,2023-01-01,19:00,2,Cliente 5010,Cancelled,WhatsApp
RES-5011,2023-01-01,22:00,8,Cliente 5011,No-Show,Phone
RES-5012,2023-01-01,19:00,2,Cliente 5012,Show,Web
RES-5013,2023-01-01,21:00,4,Cliente 5013,Show,Web
RES-5014,2023-01-01,14:00,4,Cliente 5014,Show,Phone
RES-5015,2023-01-01,13:00,8,Cliente 5015,Show,Phone
RES-5016,2023-01-01,21:00,4,Cliente 5016,Show,Web
RES-5017,2023-01-01,19:00,2,Cliente 5017,Show,Web
RES-5018,2023-01-01,20:00,4,Cliente 5018,Show,Web
RES-5019,2023-01-01,19:00,2,Cliente 5019,Show,Web
RES-5020,2023-01-01,19:00,2,Cliente 5020,Show,WhatsApp
RES-5021,2023-01-01,20:00,2,Cliente 5021,Show,Web
RES-5022,2023-01-01,14:00,2,Cliente 5022,Show,Web
RES-5023,2023-01-01,22:00,2,Cliente 5023,Show,WhatsApp
RES-5024,2023-01-01,13:00,2,Cliente 5024,Show,WhatsApp
RES-5025,2023-01-01,20:00,2,Cliente 5025,Show,WhatsApp
RES-5026,2023-01-01,20:00,2,Cliente 5026,Show,Phone
RES-5027,2023-01-01,22:00,2,Cliente 5027,Show,WhatsApp
RES-5028,2023-01-01,20:00,2,Cliente 5028,Show,WhatsApp
RES-5029,2023-01-01,13:00,2,Cliente 5029,Show,Web
RES-5030,2023-01-01,13:00,2,Cliente 5030,Show,Web
RES-5031,2023-01-01,13:00,2,Cliente 5031,Show,Web
RES-5032,2023-01-01,22:00,2,Cliente 5032,Cancelled,Web
RES-5033,2023-01-01,22:00,2,Cliente 5033,Show,Phone
RES-5034,2023-01-01,20:00,2,Cliente 5034,Show,Web
RES-5035,2023-01-02,20:00,4,Cliente 5035,Show,WhatsApp
RES-5036,2023-01-02,19:00,4,Cliente 5036,No-Show,WhatsApp
RES-5037,2023-01-02,20:00,2,Cliente 5037,Show,Web
RES-5038,2023-01-02,21:00,4,Cliente 5038,Show,Phone
RES-5039,2023-01-02,21:00,2,Cliente 5039,Show,WhatsApp
RES-5040,2023-01-02,13:00,2,Cliente 5040,Show,Phone
RES-5041,2023-01-02,20:00,2,Cliente 5041,No-Show,Web
RES-5042,2023-01-02,20:00,2,Cliente 5042,Show,Web
RES-5043,2023-01-02,20:00,4,Cliente 5043,Show,Web
RES-5044,2023-01-02,19:00,2,Cliente 5044,Show,Web
RES-5045,2023-01-02,21:00,2,Cliente 5045,Show,Web
RES-5046,2023-01-02,19:00,2,Cliente 5046,No-Show,WhatsApp
RES-5047,2023-01-02,21:00,4,Cliente 5047,Show,Phone
RES-5048,2023-01-02,20:00,4,Cliente 5048,No-Show,Web
RES-5049,2023-01-02,20:00,2,Cliente 5049,Show,Web
RES-5050,2023-01-02,20:00,2,Cliente 5050,Show,Web
