date,platform,rating,text,sentiment_label
2023-01-01,Google,5,"Las mejores pizzas de La Serena, masa muy crujiente.",positive
2023-01-01,Google,4,Increíble vista al mar y la comida deliciosa.,positive
2023-01-01,Google,3,El lugar es lindo pero la música estaba muy fuerte.,neutral
2023-01-01,TripAdvisor,4,Muy buen ambiente y música agradable.,positive
2023-01-01,Google,4,"Me encantó la decoración con durmientes, muy original.",positive
2023-01-01,Google,5,"Rápido y rico, volveremos seguro.",positive
2023-01-02,Google,3,La pizza estaba rica pero llegó tibia.,neutral
2023-01-02,Google,2,"No respetaron mi reserva, tuvimos que esperar de pie.",negative
2023-01-02,Google,5,"Rápido y rico, volveremos seguro.",positive
2023-01-02,Google,5,"Rápido y rico, volveremos seguro.",positive
2023-01-02,Google,4,Un lugar perfecto para ver el atardecer con un pisco sour.,positive
2023-01-03,Google,2,"Pésima experiencia, esperamos 1 hora por una pizza.",negative
2023-01-03,TripAdvisor,3,El lugar es lindo pero la música estaba muy fuerte.,neutral
2023-01-03,TripAdvisor,5,Un lugar perfecto para ver el atardecer con un pisco sour.,positive
2023-01-03,Google,5,Muy buen ambiente y música agradable.,positive
2023-01-04,Google,5,Muy buen ambiente y música agradable.,positive
2023-01-04,Google,2,La comida llegó fría y el garzón fue grosero.,negative
2023-01-05,Google,3,"La comida bien, pero demoraron un poco.",neutral
2023-01-05,TripAdvisor,4,Muy buen ambiente y música agradable.,positive
2023-01-05,Google,5,Increíble vista al mar y la comida deliciosa.,positive
2023-01-05,TripAdvisor,4,"Las mejores pizzas de La Serena, masa muy crujiente.",positive
2023-01-05,Google,4,Un lugar perfecto para ver el atardecer con un pisco sour.,positive
2023-01-05,Instagram,3,"La comida bien, pero demoraron un poco.",neutral
2023-01-05,TripAdvisor,3,El lugar es lindo pero la música estaba muy fuerte.,neutral
2023-01-05,Google,1,El local estaba lleno y nadie nos atendía.,negative
2023-01-06,Google,1,Muy caro para lo que ofrecen.,negative
2023-01-06,Google,5,"Me encantó la decoración con durmientes, muy original.",positive
2023-01-06,Google,2,Muy caro para lo que ofrecen.,negative
2023-01-06,Google,2,"Pésima experiencia, esperamos 1 hora por una pizza.",negative
2023-01-06,Google,5,"Excelente atención, el garzón fue muy amable.",positive
2023-01-07,Google,4,"Me encantó la decoración con durmientes, muy original.",positive
2023-01-07,TripAdvisor,5,"Rápido y rico, volveremos seguro.",positive
2023-01-07,Google,3,La pizza estaba rica pero llegó tibia.,neutral
2023-01-07,Google,5,"Rápido y rico, volveremos seguro.",positive
2023-01-07,Google,4,"Me encantó la decoración con durmientes, muy original.",positive
2023-01-09,Google,4,Muy buen ambiente y música agradable.,positive
