date,role,shift_type,hours_worked,hourly_rate,total_pay,staff_id
2023-01-01,Garzon,Intermedio,8,3500,28000,GAR-653
2023-01-01,Garzon,Cierre,8,3500,28000,GAR-919
2023-01-01,Garzon,Cierre,8,3500,28000,GAR-247
2023-01-01,Garzon,Cierre,8,3500,28000,GAR-601
2023-01-01,Cocinero,Cierre,8,4500,36000,COC-306
2023-01-01,Cocinero,Apertura,8,4500,36000,COC-657
2023-01-01,Cocinero,Apertura,8,4500,36000,COC-269
2023-01-01,Bartender,Apertura,8,4000,32000,BAR-637
2023-01-01,Bartender,Intermedio,8,4000,32000,BAR-521
2023-01-01,Admin,Full,9,6000,54000,ADM-001
2023-01-02,Garzon,Apertura,8,3500,28000,GAR-641
2023-01-02,Garzon,Intermedio,8,3500,28000,GAR-577
2023-01-02,Garzon,Cierre,8,3500,28000,GAR-301
2023-01-02,Garzon,Cierre,8,3500,28000,GAR-630
2023-01-02,Cocinero,Apertura,8,4500,36000,COC-129
2023-01-02,Cocinero,Apertura,8,4500,36000,COC-689
2023-01-02,Bartender,Intermedio,8,4000,32000,BAR-112
2023-01-02,Bartender,Cierre,8,4000,32000,BAR-551
2023-01-02,Admin,Full,9,6000,54000,ADM-001
2023-01-03,Garzon,Intermedio,8,3500,28000,GAR-789
2023-01-03,Garzon,Intermedio,8,3500,28000,GAR-544
2023-01-03,Garzon,Intermedio,8,3500,28000,GAR-318
2023-01-03,Garzon,Cierre,8,3500,28000,GAR-928
2023-01-03,Garzon,Cierre,8,3500,28000,GAR-414
2023-01-03,Cocinero,Cierre,8,4500,36000,COC-411
2023-01-03,Cocinero,Apertura,8,4500,36000,COC-536
2023-01-03,Cocinero,Cierre,8,4500,36000,COC-469
2023-01-03,Bartender,Cierre,8,4000,32000,BAR-305
2023-01-03,Bartender,Intermedio,8,4000,32000,BAR-673
2023-01-03,Admin,Full,9,6000,54000,ADM-001
2023-01-04,Garzon,Cierre,8,3500,28000,GAR-233
2023-01-04,Garzon,Cierre,8,3500,28000,GAR-133
2023-01-04,Cocinero,Cierre,8,4500,36000,COC-954
2023-01-04,Cocinero,Cierre,8,4500,36000,COC-701
2023-01-04,Bartender,Intermedio,8,4000,32000,BAR-282
2023-01-04,Admin,Full,9,6000,54000,ADM-001
2023-01-05,Garzon,Cierre,8,3500,28000,GAR-802
2023-01-05,Garzon,Intermedio,8,3500,28000,GAR-721
2023-01-05,Garzon,Apertura,8,3500,28000,GAR-749
2023-01-05,Garzon,Intermedio,8,3500,28000,GAR-584
2023-01-05,Garzon,Intermedio,8,3500,28000,GAR-576
2023-01-05,Cocinero,Apertura,8,4500,36000,COC-450
2023-01-05,Cocinero,Cierre,8,4500,36000,COC-199
2023-01-05,Cocinero,Intermedio,8,4500,36000,COC-743
2023-01-05,Cocinero,Apertura,8,4500,36000,COC-100
2023-01-05,Bartender,Apertura,8,4000,32000,BAR-571
2023-01-05,Bartender,Apertura,8,4000,32000,BAR-460
2023-01-05,Admin,Full,9,6000,54000,ADM-001
2023-01-06,Garzon,Apertura,8,3500,28000,GAR-392
2023-01-06,Garzon,Cierre,8,3500,28000,GAR-472
2023-01-06,Garzon,Intermedio,8,3500,28000,GAR-614
2023-01-06,Cocinero,Cierre,8,4500,36000,COC-796
2023-01-06,Cocinero,Cierre,8,4500,36000,COC-482
2023-01-06,Bartender,Cierre,8,4000,32000,BAR-316
2023-01-06,Admin,Full,9,6000,54000,ADM-001
2023-01-07,Garzon,Cierre,8,3500,28000,GAR-960
2023-01-07,Garzon,Cierre,8,3500,28000,GAR-797
2023-01-07,Garzon,Intermedio,8,3500,28000,GAR-339
2023-01-07,Garzon,Cierre,8,3500,28000,GAR-452
2023-01-07,Garzon,Cierre,8,3500,28000,GAR-771
2023-01-07,Cocinero,Intermedio,8,4500,36000,COC-974
2023-01-07,Cocinero,Cierre,8,4500,36000,COC-746
2023-01-07,Cocinero,Cierre,8,4500,36000,COC-699
2023-01-07,Bartender,Intermedio,8,4000,32000,BAR-388
2023-01-07,Bartender,Cierre,8,4000,32000,BAR-790
2023-01-07,Admin,Full,9,6000,54000,ADM-001
2023-01-08,Garzon,Apertura,8,3500,28000,GAR-461
2023-01-08,Garzon,Cierre,8,3500,28000,GAR-575
2023-01-08,Garzon,Cierre,8,3500,28000,GAR-194
2023-01-08,Cocinero,Cierre,8,4500,36000,COC-505
2023-01-08,Cocinero,Apertura,8,4500,36000,COC-617
2023-01-08,Bartender,Cierre,8,4000,32000,BAR-162
2023-01-08,Admin,Full,9,6000,54000,ADM-001
2023-01-09,Garzon,Intermedio,8,3500,28000,GAR-284
2023-01-09,Garzon,Cierre,8,3500,28000,GAR-207
2023-01-09,Garzon,Apertura,8,3500,28000,GAR-668
2023-01-09,Garzon,Cierre,8,3500,28000,GAR-542
2023-01-09,Cocinero,Intermedio,8,4500,36000,COC-546
2023-01-09,Cocinero,Apertura,8,4500,36000,COC-411
2023-01-09,Bartender,Intermedio,8,4000,32000,BAR-951
2023-01-09,Bartender,Cierre,8,4000,32000,BAR-604
2023-01-09,Admin,Full,9,6000,54000,ADM-001
2023-01-10,Garzon,Intermedio,8,3500,28000,GAR-298
2023-01-10,Garzon,Cierre,8,3500,28000,GAR-740
2023-01-10,Cocinero,Apertura,8,4500,36000,COC-600
2023-01-10,Cocinero,Cierre,8,4500,36000,COC-587
2023-01-10,Bartender,Cierre,8,4000,32000,BAR-430
2023-01-10,Admin,Full,9,6000,54000,ADM-001
2023-01-11,Garzon,Cierre,8,3500,28000,GAR-375
2023-01-11,Garzon,Intermedio,8,3500,28000,GAR-313
2023-01-11,Garzon,Cierre,8,3500,28000,GAR-979
2023-01-11,Garzon,Cierre,8,3500,28000,GAR-300
2023-01-11,Cocinero,Intermedio,8,4500,36000,COC-458
2023-01-11,Cocinero,Intermedio,8,4500,36000,COC-628
2023-01-11,Cocinero,Cierre,8,4500,36000,COC-224
2023-01-11,Bartender,Apertura,8,4000,32000,BAR-131
2023-01-11,Bartender,Apertura,8,4000,32000,BAR-517
2023-01-11,Admin,Full,9,6000,54000,ADM-001
2023-01-12,Garzon,Apertura,8,3500,28000,GAR-694
2023-01-12,Garzon,Intermedio,8,3500,28000,GAR-692
2023-01-12,Garzon,Cierre,8,3500,28000,GAR-385
2023-01-12,Garzon,Cierre,8,3500,28000,GAR-724
2023-01-12,Garzon,Intermedio,8,3500,28000,GAR-691
2023-01-12,Garzon,Cierre,8,3500,28000,GAR-509
2023-01-12,Cocinero,Apertura,8,4500,36000,COC-759
2023-01-12,Cocinero,Apertura,8,4500,36000,COC-737
2023-01-12,Cocinero,Cierre,8,4500,36000,COC-689
2023-01-12,Cocinero,Cierre,8,4500,36000,COC-836
2023-01-12,Bartender,Cierre,8,4000,32000,BAR-264
2023-01-12,Bartender,Apertura,8,4000,32000,BAR-227
2023-01-12,Bartender,Apertura,8,4000,32000,BAR-209
2023-01-12,Admin,Full,9,6000,54000,ADM-001
2023-01-13,Garzon,Cierre,8,3500,28000,GAR-665
2023-01-13,Garzon,Cierre,8,3500,28000,GAR-228
2023-01-13,Garzon,Cierre,8,3500,28000,GAR-714
2023-01-13,Garzon,Cierre,8,3500,28000,GAR-134
2023-01-13,Cocinero,Cierre,8,4500,36000,COC-767
2023-01-13,Cocinero,Apertura,8,4500,36000,COC-266
2023-01-13,Cocinero,Cierre,8,4500,36000,COC-223
2023-01-13,Bartender,Cierre,8,4000,32000,BAR-725
2023-01-13,Bartender,Cierre,8,4000,32000,BAR-210
2023-01-13,Admin,Full,9,6000,54000,ADM-001
2023-01-14,Garzon,Cierre,8,3500,28000,GAR-990
2023-01-14,Garzon,Apertura,8,3500,28000,GAR-230
2023-01-14,Garzon,Cierre,8,3500,28000,GAR-220
2023-01-14,Garzon,Intermedio,8,3500,28000,GAR-464
2023-01-14,Cocinero,Cierre,8,4500,36000,COC-290
2023-01-14,Cocinero,Apertura,8,4500,36000,COC-800
2023-01-14,Cocinero,Intermedio,8,4500,36000,COC-145
2023-01-14,Bartender,Cierre,8,4000,32000,BAR-395
2023-01-14,Bartender,Cierre,8,4000,32000,BAR-491
2023-01-14,Admin,Full,9,6000,54000,ADM-001
2023-01-15,Garzon,Apertura,8,3500,28000,GAR-757
2023-01-15,Garzon,Cierre,8,3500,28000,GAR-143
2023-01-15,Cocinero,Apertura,8,4500,36000,COC-755
2023-01-15,Cocinero,Cierre,8,4500,36000,COC-802
2023-01-15,Bartender,Cierre,8,4000,32000,BAR-351
2023-01-15,Admin,Full,9,6000,54000,ADM-001
2023-01-16,Garzon,Cierre,8,3500,28000,GAR-320
2023-01-16,Garzon,Apertura,8,3500,28000,GAR-315
2023-01-16,Garzon,Cierre,8,3500,28000,GAR-946
2023-01-16,Cocinero,Apertura,8,4500,36000,COC-492
2023-01-16,Cocinero,Cierre,8,4500,36000,COC-842
2023-01-16,Bartender,Apertura,8,4000,32000,BAR-527
2023-01-16,Admin,Full,9,6000,54000,ADM-001
2023-01-17,Garzon,Cierre,8,3500,28000,GAR-144
2023-01-17,Garzon,Cierre,8,3500,28000,GAR-618
2023-01-17,Garzon,Apertura,8,3500,28000,GAR-409
2023-01-17,Garzon,Apertura,8,3500,28000,GAR-536
2023-01-17,Garzon,Cierre,8,3500,28000,GAR-209
