order_id,order_date,order_time,item_name,item_type,item_price,quantity
ORD-20231117-632,2023-11-17,21:25:00,Clásica,Burgers,11900,1
ORD-20250920-777,2025-09-20,20:01:00,Camarón a la Vista,Entradas,14900,3
ORD-20250226-833,2025-02-26,19:24:00,Volcán de Chocolate,Postres,5600,2
ORD-20250530-831,2025-05-30,18:37:00,Pepperoni,Pizzas,10900,2
ORD-20250331-813,2025-03-31,18:13:00,Clásica,Burgers,11900,1
ORD-20231125-382,2023-11-25,18:23:00,Camarón a la Vista,Entradas,14900,1
ORD-20230430-435,2023-04-30,22:50:00,Volcán de Chocolate,Postres,5600,2
ORD-20230803-866,2023-08-03,17:30:00,Filete Trifolatti,Principales,23900,1
ORD-20240502-712,2024-05-02,16:49:00,Locos en su Emulsión,Entradas,25900,1
ORD-20230922-312,2023-09-22,21:50:00,Mechada Avocado,Burgers,12900,1
ORD-20230117-584,2023-01-17,18:19:00,Pavlova (Papaya),Postres,5600,2
ORD-20240229-507,2024-02-29,21:33:00,Tabla Estación,Tablas,38000,1
ORD-20230410-435,2023-04-10,19:22:00,Margarita,Pizzas,8900,3
ORD-20230219-153,2023-02-19,14:28:00,Volcán de Chocolate,Postres,5600,1
ORD-20250620-704,2025-06-20,20:12:00,Camarón a la Vista,Entradas,14900,1
ORD-20230903-810,2023-09-03,19:08:00,Cuatro Formaggi,Pizzas,14200,1
ORD-20250918-958,2025-09-18,22:41:00,Valenciano,Principales,16900,2
ORD-20251210-228,2025-12-10,21:05:00,Duo del Mar,Frío y Frescos,17900,2
ORD-20250529-289,2025-05-29,19:28:00,Pavlova (Papaya),Postres,5600,2
ORD-20250316-322,2025-03-16,20:39:00,Volcán de Chocolate,Postres,5600,2
ORD-20250715-531,2025-07-15,20:11:00,Mechada Avocado,Burgers,12900,1
ORD-20240820-786,2024-08-20,20:27:00,Pavlova (Papaya),Postres,5600,1
ORD-20230818-298,2023-08-18,20:05:00,Pepperoni,Pizzas,10900,1
ORD-20230824-960,2023-08-24,23:05:00,Volcán de Chocolate,Postres,5600,1
ORD-20251126-182,2025-11-26,19:53:00,Locos en su Emulsión,Entradas,25900,1
ORD-20240229-512,2024-02-29,20:50:00,Rocca Avocado,Principales,25900,1
ORD-20231221-943,2023-12-21,18:57:00,Pepperoni,Pizzas,10900,2
ORD-20250330-187,2025-03-30,20:07:00,Pepperoni,Pizzas,10900,4
ORD-20240820-480,2024-08-20,18:13:00,Cuatro Formaggi,Pizzas,14200,1
ORD-20250409-600,2025-04-09,16:15:00,Duo del Mar,Frío y Frescos,17900,1
ORD-20240604-261,2024-06-04,22:41:00,Margarita,Pizzas,8900,1
ORD-20230622-658,2023-06-22,23:18:00,Pepperoni,Pizzas,10900,1
ORD-20240716-556,2024-07-16,18:00:00,Clásica,Burgers,11900,1
ORD-20240318-734,2024-03-18,22:09:00,Pavlova (Papaya),Postres,5600,2
ORD-20230101-670,2023-01-01,18:16:00,Pepperoni,Pizzas,10900,1
ORD-20250830-878,2025-08-30,16:23:00,Mechada Avocado,Burgers,12900,1
ORD-20250118-126,2025-01-18,20:49:00,Rocca Avocado,Principales,25900,1
ORD-20251214-967,2025-12-14,13:13:00,Arancini,Entradas,11900,4
ORD-20240805-450,2024-08-05,19:40:00,Clásica,Burgers,11900,4
ORD-20230729-974,2023-07-29,19:35:00,Camarón a la Vista,Entradas,14900,1
ORD-20241202-251,2024-12-02,19:09:00,Camarón a la Vista,Entradas,14900,1
ORD-20251222-664,2025-12-22,23:00:00,Clásica,Burgers,11900,1
ORD-20240703-169,2024-07-03,18:38:00,Cuatro Formaggi,Pizzas,14200,1
ORD-20230815-392,2023-08-15,20:59:00,Valenciano,Principales,16900,1
ORD-20251020-360,2025-10-20,20:46:00,Tartar de Jaiba con Locos,Frío y Frescos,19900,2
ORD-20250216-104,2025-02-16,22:00:00,Margarita,Pizzas,8900,1
ORD-20230107-724,2023-01-07,19:33:00,Tartar de Jaiba con Locos,Frío y Frescos,19900,3
ORD-20240528-742,2024-05-28,21:28:00,Duo del Mar,Frío y Frescos,17900,1
ORD-20231009-886,2023-10-09,23:05:00,Salmón Tando,Principales,18900,2
ORD-20230430-719,2023-04-30,23:06:00,Valenciano,Principales,16900,1
ORD-20250418-941,2025-04-18,17:05:00,Arancini,Entradas,11900,1
ORD-20250719-809,2025-07-19,19:34:00,Filete Trifolatti,Principales,23900,3
ORD-20240506-888,2024-05-06,19:25:00,Mechada Avocado,Burgers,12900,3
ORD-20251115-523,2025-11-15,23:22:00,Tartar de Jaiba con Locos,Frío y Frescos,19900,1
ORD-20240720-803,2024-07-20,22:00:00,Arancini,Entradas,11900,1
ORD-20231202-880,2023-12-02,18:24:00,Filete Trifolatti,Principales,23900,1
ORD-20230912-664,2023-09-12,17:43:00,Mechada Avocado,Burgers,12900,1
ORD-20250225-712,2025-02-25,18:43:00,Tartar de Jaiba con Locos,Frío y Frescos,19900,1
ORD-20230829-610,2023-08-29,19:25:00,Valenciano,Principales,16900,1
ORD-20230911-987,2023-09-11,23:19:00,Filete Trifolatti,Principales,23900,1
ORD-20251023-994,2025-10-23,18:11:00,Pepperoni,Pizzas,10900,1
ORD-20251103-511,2025-11-03,18:19:00,Pavlova (Papaya),Postres,5600,2
ORD-20241013-760,2024-10-13,16:30:00,Volcán de Chocolate,Postres,5600,1
ORD-20251015-802,2025-10-15,23:53:00,Arancini,Entradas,11900,1
ORD-20251230-920,2025-12-30,17:12:00,Pepperoni,Pizzas,10900,1
ORD-20230420-930,2023-04-20,17:01:00,Clásica,Burgers,11900,1
ORD-20250104-866,2025-01-04,17:57:00,Jugo de Pulpa,Bebidas,3000,1
ORD-20241031-201,2024-10-31,22:49:00,Cuatro Formaggi,Pizzas,14200,2
ORD-20250323-670,2025-03-23,21:06:00,Tabla Estación,Tablas,38000,1
ORD-20240211-901,2024-02-11,22:38:00,Pepperoni,Pizzas,10900,4
ORD-20250911-294,2025-09-11,22:22:00,Volcán de Chocolate,Postres,5600,1
ORD-20230906-822,2023-09-06,23:23:00,Cuatro Formaggi,Pizzas,14200,3
ORD-20251112-191,2025-11-12,19:13:00,Clásica,Burgers,11900,1
ORD-20230526-882,2023-05-26,19:37:00,Pepperoni,Pizzas,10900,1
ORD-20231016-323,2023-10-16,21:59:00,Margarita,Pizzas,8900,1
ORD-20231114-598,2023-11-14,22:01:00,Valenciano,Principales,16900,2
ORD-20241230-361,2024-12-30,23:21:00,Cuatro Formaggi,Pizzas,14200,1
ORD-20240508-616,2024-05-08,15:18:00,Pavlova (Papaya),Postres,5600,2
ORD-20240407-486,2024-04-07,22:19:00,Pavlova (Papaya),Postres,5600,1
ORD-20230703-775,2023-07-03,17:18:00,Valenciano,Principales,16900,1
ORD-20250428-253,2025-04-28,19:54:00,Arancini,Entradas,11900,1
ORD-20250914-146,2025-09-14,21:23:00,Valenciano,Principales,16900,1
ORD-20230225-607,2023-02-25,17:59:00,Pavlova (Papaya),Postres,5600,1
ORD-20250816-309,2025-08-16,20:54:00,Jugo de Pulpa,Bebidas,3000,1
ORD-20250103-305,2025-01-03,22:45:00,Mechada Avocado,Burgers,12900,2
ORD-20250827-148,2025-08-27,19:14:00,Mechada Avocado,Burgers,12900,2
ORD-20241201-359,2024-12-01,21:39:00,Mechada Avocado,Burgers,12900,1
ORD-20230621-671,2023-06-21,18:20:00,Camarón a la Vista,Entradas,14900,1
ORD-20240214-748,2024-02-14,16:00:00,Copa de Vino CS,Vinos,3900,1
ORD-20251031-922,2025-10-31,19:40:00,Valenciano,Principales,16900,1
ORD-20230506-282,2023-05-06,21:05:00,Margarita,Pizzas,8900,1
ORD-20250330-958,2025-03-30,18:54:00,Cuatro Formaggi,Pizzas,14200,1
ORD-20230108-498,2023-01-08,19:38:00,Mechada Avocado,Burgers,12900,2
ORD-20241212-408,2024-12-12,19:58:00,Arancini,Entradas,11900,3
ORD-20230819-277,2023-08-19,22:34:00,Tabla Estación,Tablas,38000,2
ORD-20230610-581,2023-06-10,21:12:00,Rocca Avocado,Principales,25900,1
ORD-20250825-437,2025-08-25,19:07:00,Locos en su Emulsión,Entradas,25900,1
ORD-20231118-550,2023-11-18,22:06:00,Salmón Tando,Principales,18900,1
ORD-20240109-606,2024-01-09,18:35:00,Mechada Avocado,Burgers,12900,1
ORD-20251023-605,2025-10-23,19:58:00,Clásica,Burgers,11900,2
ORD-20250830-530,2025-08-30,22:58:00,Clásica,Burgers,11900,1
ORD-20250522-658,2025-05-22,22:33:00,Rocca Avocado,Principales,25900,4
ORD-20250708-707,2025-07-08,22:29:00,Valenciano,Principales,16900,3
ORD-20250126-821,2025-01-26,19:47:00,Camarón a la Vista,Entradas,14900,1
ORD-20230311-643,2023-03-11,18:56:00,Copa de Vino CS,Vinos,3900,1
ORD-20241212-648,2024-12-12,18:40:00,Salmón Tando,Principales,18900,1
ORD-20251116-351,2025-11-16,17:11:00,Cuatro Formaggi,Pizzas,14200,2
ORD-20241205-759,2024-12-05,18:11:00,Rocca Avocado,Principales,25900,3
ORD-20250501-174,2025-05-01,22:34:00,Camarón a la Vista,Entradas,14900,4
ORD-20240902-347,2024-09-02,20:10:00,Locos en su Emulsión,Entradas,25900,1
ORD-20241023-168,2024-10-23,16:18:00,Volcán de Chocolate,Postres,5600,2
ORD-20250529-959,2025-05-29,22:32:00,Duo del Mar,Frío y Frescos,17900,3
ORD-20241114-598,2024-11-14,18:43:00,Pepperoni,Pizzas,10900,4
ORD-20250419-919,2025-04-19,22:54:00,Volcán de Chocolate,Postres,5600,2
ORD-20230108-306,2023-01-08,20:57:00,Mechada Avocado,Burgers,12900,1
ORD-20230207-269,2023-02-07,19:00:00,Jugo de Pulpa,Bebidas,3000,1
ORD-20240725-858,2024-07-25,22:59:00,Arancini,Entradas,11900,1
ORD-20231029-453,2023-10-29,21:56:00,Margarita,Pizzas,8900,4
ORD-20240809-830,2024-08-09,18:01:00,Pepperoni,Pizzas,10900,2
ORD-20240207-433,2024-02-07,17:44:00,Pepperoni,Pizzas,10900,1
ORD-20251226-391,2025-12-26,19:48:00,Cuatro Formaggi,Pizzas,14200,1
ORD-20250610-872,2025-06-10,19:38:00,Volcán de Chocolate,Postres,5600,2
ORD-20250823-139,2025-08-23,14:56:00,Cuatro Formaggi,Pizzas,14200,1
ORD-20250313-432,2025-03-13,21:46:00,Duo del Mar,Frío y Frescos,17900,2
ORD-20251207-355,2025-12-07,20:41:00,Pepperoni,Pizzas,10900,1
ORD-20231128-374,2023-11-28,18:46:00,Locos en su Emulsión,Entradas,25900,1
ORD-20240216-237,2024-02-16,16:40:00,Filete Trifolatti,Principales,23900,4
ORD-20230609-994,2023-06-09,19:44:00,Copa de Vino CS,Vinos,3900,1
ORD-20250612-698,2025-06-12,20:11:00,Duo del Mar,Frío y Frescos,17900,1
ORD-20251018-267,2025-10-18,21:05:00,Cuatro Formaggi,Pizzas,14200,2
ORD-20251208-613,2025-12-08,19:46:00,Salmón Tando,Principales,18900,2
ORD-20241015-587,2024-10-15,20:30:00,Copa de Vino CS,Vinos,3900,1
ORD-20250415-670,2025-04-15,15:31:00,Rocca Avocado,Principales,25900,1
ORD-20230605-254,2023-06-05,19:47:00,Cuatro Formaggi,Pizzas,14200,4
ORD-20250505-243,2025-05-05,21:19:00,Camarón a la Vista,Entradas,14900,1
ORD-20230312-833,2023-03-12,21:53:00,Salmón Tando,Principales,18900,1
ORD-20251008-157,2025-10-08,19:51:00,Duo del Mar,Frío y Frescos,17900,2
ORD-20231220-660,2023-12-20,22:43:00,Filete Trifolatti,Principales,23900,3
ORD-20240224-940,2024-02-24,17:05:00,Cuatro Formaggi,Pizzas,14200,2
ORD-20250607-987,2025-06-07,22:07:00,Salmón Tando,Principales,18900,1
ORD-20240915-876,2024-09-15,22:46:00,Volcán de Chocolate,Postres,5600,1
ORD-20250415-399,2025-04-15,21:55:00,Filete Trifolatti,Principales,23900,1
ORD-20230910-858,2023-09-10,17:17:00,Volcán de Chocolate,Postres,5600,1
ORD-20240924-875,2024-09-24,15:16:00,Copa de Vino CS,Vinos,3900,2
ORD-20230602-604,2023-06-02,18:08:00,Volcán de Chocolate,Postres,5600,2
ORD-20250701-627,2025-07-01,21:30:00,Pepperoni,Pizzas,10900,2
ORD-20250227-424,2025-02-27,18:20:00,Camarón a la Vista,Entradas,14900,1
ORD-20240211-267,2024-02-11,18:02:00,Clásica,Burgers,11900,2
ORD-20240115-427,2024-01-15,20:04:00,Tartar de Jaiba con Locos,Frío y Frescos,19900,1
ORD-20250430-437,2025-04-30,21:53:00,Arancini,Entradas,11900,1
ORD-20250731-784,2025-07-31,16:12:00,Copa de Vino CS,Vinos,3900,2
ORD-20230826-336,2023-08-26,19:18:00,Volcán de Chocolate,Postres,5600,2
ORD-20251128-821,2025-11-28,20:36:00,Valenciano,Principales,16900,1
ORD-20230704-212,2023-07-04,20:37:00,Pepperoni,Pizzas,10900,1
